seq,priority,doi_available,source,year,authors,title,journal,doi,icrv,cdai,dpl,doi_type,fp_type,n,r,notes,extraction_status,abstract
61,High,Y,,2020,"Petrou, Andreas P.; Hadjielias, Elias; Thanos, Ioannis C.; Dimitratos, Pavlos","Strategic decision-making processes, international environmental munificence and the accelerated internationalization of SMEs",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2020.101735,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
62,High,Y,,2020,"Sun, Wenbin; Ding, Zhihua; Xu, Xiaobo; Cui, Kacie",Internationalization and firm default risk: The roles of environmental dynamism and marketing capability,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.08.027,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
63,High,Y,,2020,"Dai, Meihong; Li, Ben",Improving firm survival: exports or outward foreign direct investment?,POST-COMMUNIST ECONOMIES,10.1080/14631377.2019.1678097,,,3,FDI,SURV,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,
64,High,Y,,2020,"Cho, Jaeyoung; Lee, Jangwoo",Speed of FDI expansions and the survival of Korean SMEs: the moderating role of ownership structure,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-018-0045-7,1,H,3,FDI,SURV,,,,AUTO-CODED FROM UNSURE-R4; NEEDS FULL-TEXT VERIFICATION,
65,High,Y,,2019,"Cos, Pilar; Colonn, Antonio; Cabases, Angels",Geographic export diversification: Determinants and their link with export performance,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.21991,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
66,High,Y,,2019,"Chittoor, Raveendra; Aulakh, Preet S.; Ray, Sougata",Microfoundations of firm internationalization: The owner CEO effect,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1193,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
67,High,Y,,2019,"Genc, Ebru; Dayan, Mumin; Genc, Omer Faruk",The impact of SME internationalization on innovation: The mediating role of market and entrepreneurial orientation,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2019.01.008,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
68,High,Y,,2019,Quy Thi Vo,Export Performance and Stock Return: A Case of Fishery Firms Listing in Vietnam Stock Markets,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/jafeb.2019.vol6.no4.37,2,L,3,EXP,MKT,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Vietnam; doi_type_auto:EXP; fp_type_auto:MKT; cdai_auto:L,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
69,High,Y,,2019,"Pedro Carreon-Gutierrez, Jose; Manuel Saiz-Alvarez, Jose","Product Newness, Low Competition, Recent Technology, and Export Orientation as Predictors for Entrepreneurial Growth Aspirations",SUSTAINABILITY,10.3390/su11205818,,,3,EXP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
70,High,Y,,2019,"Yoo, Sung-Joon; Kim, Hag-Min; Lee, Yea-Rim",The Effects of International Entrepreneurial Orientation and Entrepreneurial Activities on SMEs' Export Performance,JOURNAL OF KOREA TRADE,10.35611/jkt.2019.23.7.156,1,H,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Korea; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:H,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
71,High,Y,,2018,"Mullen, Cormac; Luff, Martha O'Hagan",Alphabet soup: the relationship between multinationality and firm performance,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2018.1556519,,,3,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
72,High,Y,,2018,"Eppinger, Peter S.; Meythaler, Nicole; Sindlinger, Marc-Manuel; Smolka, Marcel",The great trade collapse and the Spanish export miracle: Firm-level evidence from the crisis,WORLD ECONOMY,10.1111/twec.12530,1,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Spain,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
73,High,Y,,2018,"Rajnoha, Rastislav; Merkova, Martina; Dobrovic, Jan; Rozsa, Zoltan",BUSINESS PERFORMANCE MANAGEMENT AND FDI: KEY DIFFERENCES BETWEEN FOREIGN AND DOMESTIC-OWNED FIRMS - A CASE OF SLOVAKIA,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/jbem.2018.1538,,,3,FDI,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:FDI,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
74,High,Y,,2018,"Luo, Xueming; Zheng, Qinqin",How firm internationalization is recognized by outsiders: The response of financial analysts,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.04.030,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
75,High,Y,,2018,"Rua, Orlando; Franca, Alexandra; Fernandez Ortiz, Ruben",Key drivers of SMEs export performance: the mediating effect of competitive advantage,JOURNAL OF KNOWLEDGE MANAGEMENT,10.1108/jkm-07-2017-0267,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
76,High,Y,,2018,"Ermolaeva, Liubov; Freixanet, Joan; Panibratov, Andrei",The role of absorptive capacity in the relationship between firm internationalization and innovation: evidence from Russia,JOURNAL OF EAST EUROPEAN MANAGEMENT STUDIES,10.5771/0949-6181-2018-4-621,1,M,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; cdai_auto:M,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
77,High,Y,,2018,Long Quang Trinh; Ha Thi Thanh Doan,"Internationalization and the growth of Vietnamese micro, small, and medium sized enterprises: Evidence from panel quantile regressions",JOURNAL OF ASIAN ECONOMICS,10.1016/j.asieco.2018.01.002,2,L,3,,GROW,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,
78,High,Y,,2017,"Shin, Joonho; Mendoza, Xavier; Hawkins, Matthew A.; Choi, Changbum",The relationship between multinationality and performance: Knowledge-intensive vs. capital-intensive service micro-multinational enterprises,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2017.02.005,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
79,High,Y,,2017,"Ral-Trebacz, Arkadiusz",Performance effects of multinationality: evidence from European companies,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2016.079528,1,M,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:europe; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
80,High,Y,,2017,"Qiu, Bin; Yan, Zhijun","Market Efficiency, Heterogeneous Trade Costs and Export-Only Firms",PACIFIC ECONOMIC REVIEW,10.1111/1468-0106.12206,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
81,High,Y,,2017,"Bronzini, Raffaello; D'Ignazio, Alessio",Bank Internationalization and Firm Exports: Evidence from Matched Firm-Bank Data,REVIEW OF INTERNATIONAL ECONOMICS,10.2139/ssrn.2777973,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
82,High,Y,,2017,"Burlina, Chiara",Local Externalities and Firm Internationalisation,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,10.1111/tesg.12224,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
83,High,Y,,2017,"Kiendrebeogo, Youssouf; Minea, Alexandru",Financial Factors and Manufacturing Exports: Firm-Level Evidence From Egypt,JOURNAL OF DEVELOPMENT STUDIES,10.1596/28933,,L,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; cdai_auto:L,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
84,High,Y,,2017,"Abdolvand, Mohammad Ali; Keisami, Mina Khalili",Examining drivers of e-commerce marketing capabilities and their impact on export venture e-commerce performance and export market growth: mediating role of efficiencies,HELIX,10.29042/2017-2141-2149,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
85,High,Y,,2017,"Nyamulinda, Bideri Ishuheri; Gaju, Alice Karema",Export Performance of SMEs in the Rwandan Mining Sector: Challenges and Prospects,"MANAGEMENT CHALLENGES IN DIFFERENT TYPES OF AFRICAN FIRMS: PROCESSES, PRACTICES AND PERFORMANCE",10.1007/978-981-10-4536-3_12,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Africa; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
86,High,Y,,2017,"Wojciechowski, Liwiusz",Productivity Gap: A Chance or an Obstacle in Absorbing Benefits from FDI in a Host Country,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2017.050407,,,3,FDI,LAB,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,
87,High,Y,,2016,"Bhaumik, Sumon Kumar; Driffield, Nigel; Zhou, Ying","Country specific advantage, firm specific advantage and multinationality - Sources of competitive advantage in emerging markets: Evidence from the electronics industry in China",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2014.12.006,2,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
88,High,Y,,2016,"Kirca, Ahmet H.; Fernandez, Whitney Dougla; Kundu, Sumit K.",An empirical analysis and extension of internalization theory in emerging markets: The role of firm-specific assets and asset dispersion in the multinationality-performance relationship,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2016.03.003,2,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
89,High,Y,,2016,"Clegg, Jeremy; Lin, Hsin Mei; Voss, Hinrich; Yen, I-Fan; Shih, Yi Tien",The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality strategy and external factors,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.01.010,2,L,3,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
90,High,Y,,2016,"Boehe, Dirk Michael; Jimenez, Alfredo",How does the geographic export diversification-performance relationship vary at different levels of export intensity?,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.03.011,,,3,export_ratio,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
91,High,Y,,2016,"Geleilate, Jose-Mauricio G.; Magnusson, Peter; Parente, Ronaldo C.; Alvarado-Vargas, Marcelo J.",Home Country Institutional Effects on the Multinationality-Performance Relationship: A Comparison Between Emerging and Developed Market Multinationals,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.06.001,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
92,High,Y,,2016,"Charoensukmongkol, Peerayuth",Cultural intelligence and export performance of small and medium enterprises in Thailand: Mediating roles of organizational capabilities,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,10.1177/0266242614539364,2,M,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Thailand; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:M,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
93,High,Y,,2016,"Altuzarra, A.; Bustillo, R.; Rodriguez, C.",Understanding Export Market Success: Evidence from Manufacturing Firms,OPEN ECONOMIES REVIEW,10.1007/s11079-015-9368-6,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
94,High,Y,,2016,"Arudchelvan, Menaka; Wignaraja, Ganeshan",SME Internationalization Through Global Value Chains and Free Trade Agreements: Evidence from Malaysia,PRODUCTION NETWORKS AND ENTERPRISES IN EAST ASIA: INDUSTRY AND FIRM-LEVEL ANALYSIS,10.1007/978-4-431-55498-1_10,2,M,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Malaysia; cdai_auto:M,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
95,High,Y,,2016,"Geldres-Weiss, Valeska V.; Uribe-Borquez, Claudina T.; Coudounaris, Dafnis N.; Monreal-Perez, Joaquin",Innovation and experiential knowledge in firm exports: Applying the initial U-model,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2016.04.083,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
96,High,Y,,2016,"Secchi, Angelo; Tamagni, Federico; Tomasi, Chiara","Financial constraints and firm exports: accounting for heterogeneity, self-selection, and endogeneity",INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtw033,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
97,High,Y,,2016,"Galdeano-Gomez, Emilio; Perez-Mesa, Juan C.; Aznar-Sanchez, Jose A.",INTERNATIONALISATION OF SMES AND SIMULTANEOUS STRATEGIES OF COOPERATION AND COMPETITION: AN EXPLORATORY ANALYSIS,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2014.959040,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
98,High,Y,,2016,"Acar, F. Pinar",The effects of top management team composition on SME export performance: an upper echelons perspective,CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,10.1007/s10100-015-0408-5,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
99,High,Y,,2016,"Nas, Tulay Ilhan; Kalaycioglu, Ozan","The effects of the board composition, board size and CEO duality on export performance Evidence from Turkey",MANAGEMENT RESEARCH REVIEW,10.1108/mrr-01-2015-0014,2,M,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Turkey; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:M,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
100,High,Y,,2015,"Fuchs, Manfred; Koestner, Mariella",Standardisation and adaptation of firms' export marketing strategies in familiar European and non-familiar non-European markets,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2015.069163,1,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
101,High,Y,,2015,"Monreal-Perez, Joaquin; Aragon-Sanchez, Antonio; Sanchez-Marin, Gregorio",DO EXPORT MARKETS SELECT THE MOST INNOVATIVE PRODUCERS? THE MODERATING ROLE OF PRODUCTIVITY,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,10.1142/s1363919615500309,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
102,High,Y,,2015,"Kim, Young Gui; Suh, Jeongmeen",What Determines Small Champions' Export Performance? Evidence from Korea Firm-Level Data,ASIAN ECONOMIC PAPERS,10.1162/asep_a_00356,1,H,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Korea; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:H,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
103,High,Y,,2015,"Marques, Helena",DOES THE GENDER OF TOP MANAGERS AND OWNERS MATTER FOR FIRM EXPORTS?,FEMINIST ECONOMICS,10.1080/13545701.2015.1029958,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
104,High,Y,,2015,"Masso, Jaan; Roigas, Kaert; Vahter, Priit","Foreign market experience, learning by hiring and firm export performance",REVIEW OF WORLD ECONOMICS,10.1007/s10290-015-0224-y,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
